0,102,9,0,0,98,4,0,0,91,8,0,0
10,104,9,4.77559317692001e-05,1.04353106271488e-06,129,12,6.061748602341e-05,2.75620618561081e-06,139,6,6.18332224574384e-05,2.28022394670158e-06
20,101,8,9.87826971308514e-05,2.25346906236903e-06,179,2,0.000134469792213243,2.79435241938373e-07,196,17,0.000142305321557342,5.10325460525596e-06
30,92,9,0.00015341104990834,4.98196127445912e-06,256,5,0.000251682941993383,5.77643668987467e-06,280,21,0.000267275292918653,4.42873392263374e-06
40,97,4,0.000202751165325897,2.00353983097595e-06,345,10,0.000384404004322464,5.70533630211237e-06,379,15,0.000433444434013024,1.40655574287395e-05
50,98,3,0.000260802519108102,1.18608520702703e-05,367,0,0.000595849466283342,1.05895269376259e-05,618,43,0.000710380823681548,2.15565354732928e-05
60,90,6,0.000299160534391287,1.21250335555835e-05,450,9,0.000781540839071894,1.02202841637974e-05,722,27,0.00103585182764526,3.83278262768973e-05
70,103,10,0.000353239250838886,1.53079980509632e-05,574,25,0.00106383239012028,2.20411827154414e-05,1005,62,0.00153776859175433,1.32827770752175e-05
80,95,4,0.00039176410324646,1.00587400070788e-05,692,44,0.00134707541018649,6.82035593352476e-06,1532,33,0.00210541299177783,8.15849264789234e-05
90,108,4,0.00043581601270987,2.17652299548056e-07,634,63,0.00161418235041198,7.94109088682902e-06,1843,42,0.00300841141141539,0.000140011542325084
100,90,1,0.000518732239518048,1.58493886996258e-05,750,35,0.00200974937522691,4.21272675946475e-05,2563,165,0.00414013075331339,0.000144174458296817
110,88,9,0.000527139840131446,2.61161796736876e-05,777,71,0.00240510041489315,5.43003197754791e-05,2849,29,0.00546941902261118,9.38517275503115e-05
120,92,2,0.000595951029347492,2.807761581248e-05,863,28,0.00293369395144305,8.86148764874681e-05,3591,215,0.0070668982883074,0.000233234128872871
130,103,8,0.000675083231148172,2.79785883432558e-05,841,60,0.00320588793896617,0.000126801447915008,3945,243,0.00842834607011178,8.92984684986681e-05
140,97,5,0.000720125801080869,1.28252108727466e-05,789,30,0.00381276567766499,9.55957869912405e-05,3889,301,0.0108841864061936,0.000343816177230335
150,93,8,0.000751617786539353,3.07437343473964e-05,745,42,0.00407903941404438,0.000138782791630038,3765,196,0.0118401722178898,8.39206883871207e-05
160,93,6,0.000759755727891429,1.83695252551936e-05,749,43,0.00456937642262927,0.000206506390352278,4160,134,0.0138715393843059,0.00049353729850316
170,106,1,0.00085594453098751,2.84035762705849e-05,870,23,0.00483228407379867,5.43983396732694e-05,3908,278,0.0162730780086251,0.0001819506814584
180,101,6,0.000897177060318519,2.66439417463084e-05,845,50,0.0052657374844355,3.87671003132476e-05,3245,320,0.0179113382194208,0.000205343817677598
190,89,3,0.000961239387713508,3.67691942415252e-05,761,10,0.00569516144902555,0.000219520064094594,3338,70,0.0187500347754479,2.24015025936328e-05
200,98,1,0.00100579930352335,2.10984816242764e-05,688,52,0.00606319816863031,3.49958751220511e-05,2909,128,0.0200462002050696,0.000163966058863272
210,95,3,0.000981355595671884,4.90780727148522e-05,783,8,0.00641897624998602,8.76332634541243e-05,2404,221,0.021336486391184,0.000892852450186614
220,99,3,0.00107733940534553,4.40385494608428e-05,700,2,0.00647735234179639,8.60269691047466e-05,2282,54,0.0232331740158147,0.000647635819360531
230,99,1,0.00111070167181337,3.70791197765399e-05,728,31,0.00738917871297427,2.62282795290569e-05,1821,12,0.0256379547100883,0.000584851329867318
240,89,3,0.00121825869697114,2.58104840422169e-05,723,30,0.00772489788737426,0.000328217091446629,1619,4,0.0249903889429986,0.0011260178539592
